Laptop Name,Price,Rating,Review Count,Product Link
"ASUS ROG Zephyrus G14 14"" Gaming Laptop (AMD Ryzen 9 7940HS/512GB SSD/16GB RAM/GeForce RTX 4060)","$1,849.99",4.29,17,https://www.bestbuy.ca/en-ca/product/open-box-asus-tuf-gaming-f15-15-6-gaming-laptop-grey-intel-core-i7-12700h-512gb-ssd-16gb-ram-geforce-rtx-4050/17080267?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"ASUS ROG Strix G15 15.6"" Gaming Laptop - Eclipse Grey (AMD Ryzen 9 6900HX/512GB SSD /32GB RAM/RTX 3050)","$1,399.95",3.89,9,https://www.bestbuy.ca/en-ca/product/msi-pulse-series-17-3-gaming-laptop-titanium-grey-intel-core-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4070-win-11/17203640?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"ASUS TUF Gaming F17 17.3"" Gaming Laptop - Mecha Grey (Intel Core i7-12700H/1TB SSD/16GB RAM/RTX 3050)","$1,299.99",5,7,https://www.bestbuy.ca/en-ca/product/open-box-asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11/17194920?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"MSI Katana Series 17.3"" Gaming Laptop - Black (Intel Core i9-13900H/1TB SSD/16GB RAM/GeForce RTX 4060/Win 11)","$1,799.99",5,2,https://www.bestbuy.ca/en-ca/product/open-box-asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11-exclusive-retail-partner/17213250?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11)",$499.99,3.56,9,https://www.bestbuy.ca/en-ca/product/open-box-asus-tuf-gaming-f15-15-6-gaming-laptop-grey-intel-core-i7-12700h-512gb-ssd-16gb-ram-geforce-rtx-4050/17080267?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"Open Box - ASUS ROG Strix G15 15.6"" Gaming Laptop - Eclipse Grey (AMD Ryzen 9 6900HX/512GB SSD /32GB RAM/RTX 3050)","$1,099.99",5,1,https://www.bestbuy.ca/en-ca/product/msi-pulse-series-17-3-gaming-laptop-titanium-grey-intel-core-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4070-win-11/17203640?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"Lenovo LOQ 15.6"" Gaming Laptop - Storm Grey (Intel i5-13420H/512GB SSD/8GB RAM/GeForce RTX 3050)","$1,299.99",4.58,12,https://www.bestbuy.ca/en-ca/product/asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11-xbox-gamepass-exclusive-retail-partner/17083904
"MSI Pulse Series 17.3"" Gaming Laptop - Titanium Grey (Intel Core i9-13900H/1TB SSD/16GB RAM/GeForce RTX 4070/Win 11)","$1,899.99",3.86,7,https://www.bestbuy.ca/en-ca/product/lenovo-legion-go-8-8-qhd-touch-gaming-console-amd-ryzen-z1-extreme-16gb-ram-512gb-ssd-windows-11-xbox-game-pass-exclusive-retail-partner/17289697
"MSI Thin GF63 15.6"" Gaming Laptop - Black (Intel Core i7-12650H/1TB SSD/16GB RAM/GeForce RTX 3050)","$1,199.99",5,2,https://www.bestbuy.ca/en-ca/product/open-box-asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11-exclusive-retail-partner/17213250
"Open Box - Dell Alienware m17 R5 17.3"" Gaming Laptop (AMD Ryzen 7 6800H/1TB SSD/16GB RAM/GeForce RTX 3070 Ti)","$1,599.99",0,0,https://www.bestbuy.ca/en-ca/product/asus-zephyrus-g16-16-gaming-laptop-eclipse-grey-intel-core-i7-12700h-1tb-ssd-16gb-ram-geforce-rtx-4050/16690989
"ASUS ROG Strix G18 18"" Gaming Laptop - Eclipse Grey (Intel Core i9-13980HX/1TB SSD/32GB RAM/GeForce RTX 4070)","$2,999.99",4.09,23,https://www.bestbuy.ca/en-ca/product/hp-victus-15-6-gaming-laptop-mica-silver-amd-ryzen-5-7535hs-512gb-ssd-8gb-ram-geforce-rtx-2050-win-11/17177111
"MSI Cyborg 15 15.6"" Gaming Laptop -Translucent Black (Intel Core i7-12650H/512GB SSD/16GB RAM/GeForce RTX 4050)",$999.97,2.33,3,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f15-15-6-gaming-laptop-mecha-grey-intel-core-i7-12700h-512gb-ssd-16gb-ram-geforce-rtx-4050/16693541
"Dell Alienware m16 16"" Gaming Laptop (Intel Core i7-13700HX/1TB SSD/16GB RAM/GeForce RTX 4070)","$2,199.99",4.55,324,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f15-15-6-gaming-laptop-black-intel-core-i5-11400h-512gb-ssd-16gb-ram-rtx-2050/16693540
"ASUS TUF Gaming F15 15.6"" Gaming Laptop - Mecha Grey (Intel Core i7-12700H/1TB SSD/16GB RAM/GeForce RTX 4060)","$1,699.99",3.82,17,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g14-14-gaming-laptop-amd-ryzen-9-7940hs-512gb-ssd-16gb-ram-geforce-rtx-4060/16690991
"MSI Cyborg 15 15.6"" Gaming Laptop -Translucent Black (Intel Core i7-12650H/512GB SSD/16GB RAM/GeForce RTX 4060)","$1,499.99",4.2,25,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g15-15-6-gaming-laptop-eclipse-grey-amd-ryzen-9-6900hx-512gb-ssd-32gb-ram-rtx-3050/16690988
